model,subject,emb_type,num_generated_images,fid_score
ATM_S,sub-08,pipe_output,200,179.42219757408685
ATM_S,sub-01,pipe_output,200,174.949334376011
ATM_S,sub-02,image_embeds,200,106.11968138570592
ATM_S,sub-06,eeg_embeds,200,250.1105715154967
Nerv1,sub-09,image_embeds,200,106.11968138570592
MUSE,sub-02,image_embeds,200,106.11968138570592
ATM_S,sub-05,image_embeds,200,106.11968138570592
NICE,sub-01,eeg_embeds,200,238.13681878599934
MUSE,sub-06,image_embeds,200,106.11968138570592
MUSE,sub-08,image_embeds,200,106.11968138570592
MUSE,sub-01,pipe_output,200,188.70709690836435
ATM_S,sub-09,pipe_output,200,242.42937649488613
MUSE,sub-04,image_embeds,200,106.11968138570592
ATM_S,sub-08,image_embeds,200,106.11968138570592
MUSE,sub-06,pipe_output,200,186.5338020529048
Nerv1,sub-10,pipe_output,200,210.77458524503035
MUSE,sub-07,image_embeds,200,106.11968138570592
Nerv1,sub-03,pipe_output,200,193.9366968612536
NICE,sub-07,eeg_embeds,200,224.59217475269693
ATM_S,sub-04,pipe_output,200,182.99258267883232
Nerv1,sub-06,pipe_output,200,202.1522576976326
Nerv1,sub-08,eeg_embeds,200,247.07119433358733
ATM_S,sub-04,eeg_embeds,200,242.05405287777162
Nerv2,sub-03,eeg_embeds,800,225.55007113430247
NICE,sub-08,eeg_embeds,200,262.42563908145144
NICE,sub-04,eeg_embeds,200,241.52818793816917
MUSE,sub-08,pipe_output,200,190.4723309677284
ATM_S,sub-09,eeg_embeds,200,239.0194577482281
NICE,sub-04,pipe_output,200,198.85729540343016
Nerv1,sub-01,image_embeds,200,106.11968138570592
Nerv1,sub-05,image_embeds,200,106.11968138570592
ATM_S,sub-01,eeg_embeds,200,244.5041314352809
MUSE,sub-07,eeg_embeds,200,243.25459372696872
MUSE,sub-07,pipe_output,200,206.68299677794
Nerv1,sub-10,eeg_embeds,200,244.83552581070845
NICE,sub-09,pipe_output,200,213.10310383351975
MUSE,sub-10,pipe_output,200,204.64558668631918
ATM_S,sub-10,image_embeds,200,106.11968138570592
MUSE,sub-08,eeg_embeds,200,250.82177798772804
MUSE,sub-05,pipe_output,200,215.9177489460085
NICE,sub-03,image_embeds,200,106.11968138570592
